"WUI_ID","pred_mean","pred_total","obs_total","n_obs"
"Lihue",0.613541805462107,0.613541805462107,1,1
"Spreckelsville",0.633957536861465,0.633957536861465,1,1
"Hanamaulu",0.688117745326286,0.688117745326286,1,1
"Waialua",0.723353522975709,0.723353522975709,1,1
"East Honolulu Diamond Head",0.759038410327552,0.759038410327552,1,1
"Puako",0.76497304536309,0.76497304536309,1,1
"Kailua",0.773132174511509,1.54626434902302,2,2
"Kainaliu",0.782237955635848,0.782237955635848,1,1
"Haiku",0.792927483592452,0.792927483592452,1,1
"Kahana",0.793931705819655,1.58786341163931,2,2
